,track_name,artist_name,album_name,genre,duration_ms,popularity,explicit,track_id,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2139,Money Bag,Cardi B,Cool Rap Mix,dance,229004,0,True,6SkglZRIwB5ljwNaAY7UkW,4kYSro6naA4h99UJvo89HB,0.947,0.788,10,-6.138,0,0.124,0.107,0.000697,0.108,0.454,129.977
2140,Don't Do Me Like That,Tom Petty and the Heartbreakers,Damn The Torpedoes (Deluxe Edition),blues,161786,61,False,5AzpZ5ADn1AFPxcEBd2Ugf,4tX2TplrkIP4v05BNC903e,0.758,0.805,0,-4.243,1,0.0279,0.211,1.53e-05,0.0982,0.961,116.543
2141,Otrada,Tamara Tsereteli,Velikie ispolniteli Rossii XX veka: Tamara Tsereteli (Deluxe),romance,134246,0,False,2CbEyPoDsZ9XuiqylphFN5,5BpS3s4I9xdckGgiw2MXyP,0.542,0.115,7,-15.65,1,0.091,0.993,0.292,0.106,0.53,102.073
2142,"Aj da nu da, da ne (Ai Da Nu Da, Da Ne)",Nikolai Erdenko,The Famous Songs of Russian Gypsies,romance,155226,1,False,5BBOluknos4IDXwj0DnzGd,60EuoAM8LLXx5z10Wc33eR,0.336,0.662,11,-10.676,0,0.0516,0.781,4.14e-06,0.1,0.727,157.133
2143,Mighty to Save,Laura Story,Great God Who Saves,world-music,229946,50,False,5l4kTQShA5kAOvjbGBTxBm,0qKOMcuFgagNQJWHHK7NY6,0.486,0.66,6,-5.08,1,0.0279,0.0192,3.66e-06,0.0995,0.348,155.919
2144,Help,Pink Guy,Pink Season,comedy,165040,50,True,2SmXJEhm1yJvXK6Hx4XAYT,3yJnBqAoRUNeDabdYoiYWD,0.837,0.554,2,-10.165,1,0.109,0.734,5.6e-05,0.129,0.676,117.012
2145,Fire,Sara Bareilles,Amidst the Chaos (Bonus Version),acoustic,229627,47,False,3Zx5ylimOCecAT0yai8sPK,2Sqr0DXoaYABbjBo9HaMkM,0.666,0.727,10,-7.921,0,0.057,0.482,0.00165,0.363,0.465,107.033
2146,main actor,美波,カワキヲアメク,anime,331466,52,False,0wBI0iW9HAcLi1d7tMYOsm,1KXJUpTiNeMv93LrJbbm7G,0.417,0.562,2,-6.563,1,0.0327,0.0555,0.0,0.103,0.411,173.868
2147,When She Comes Home Tonight,Riley Green,Outlaws Like Us,country,250253,64,False,3QE9qyQrIgefznSchAYJPB,2QMsj4XJ7ne2hojxt6v5eb,0.606,0.455,6,-7.317,1,0.0288,0.259,2.99e-06,0.159,0.329,144.836
2148,Tropicoso,Jungle Fire,Tropicoso,afrobeat,198800,33,False,00lz7Upb0bJLdFEjieRNb5,4fN32efNcPfJXVJ151noby,0.693,0.753,9,-7.698,0,0.0599,0.0592,0.866,0.0566,0.87,95.443
2149,Gavot,Nadezhda Kazantseva,Velikie ispolniteli Rossii XX veka: Nadezhda Kazantseva (Deluxe),romance,192322,0,False,6ngDPY1BHe4d4NA9bL6eY7,3anLFsoisesWb1bVvkFkF8,0.542,0.243,11,-10.785,0,0.162,0.979,6.49e-05,0.105,0.458,92.864
2150,Help Is On The Way,Rise Against,Endgame,hardcore,237480,58,False,09jPXOz0LS0kpqmkQRaFPO,6Wr3hh341P84m3EI8qdn9O,0.336,0.951,5,-3.587,0,0.0707,0.000123,0.00108,0.0333,0.596,108.043
2151,Can’t Let Go,Robert Plant,Raise The Roof,blues,221440,51,False,6dQh60A0KlpwPT2p9ptJaY,1OwarW4LEHnoep20ixRA0y,0.717,0.823,10,-6.907,0,0.0443,0.11,0.0238,0.143,0.9,90.261
2152,Sixteen,Thomas Rhett,Life Changes,country,178333,62,False,3pJkBPHadRAxBBo484RipI,6x2LnllRG5uGarZMsD4iO8,0.705,0.531,1,-7.031,1,0.0281,0.0135,2.11e-06,0.165,0.425,107.013
2153,We Did Not Make Sense,Presence,We Did Not Make Sense,chill,188541,54,False,5WPbkilyXspX1yiKAiR1oO,1Pq3b64hsWb48FjFPfV5aq,0.552,0.418,2,-4.587,1,0.0345,0.0544,0.45,0.0923,0.298,71.997
2154,You're Still The One - Acoustic,Bailey Rushlow,You're Still The One (Acoustic),acoustic,161306,56,False,4l2fpkIEUWv7G9DNp9M2nr,1tTQcokfKcsCxZaHF2pIhw,0.605,0.168,2,-11.388,1,0.0496,0.887,0.0,0.12,0.398,119.836
2155,Gumegum,Hailu Mergia,Tezeta,afrobeat,266914,24,False,7p9NGqh91Khw1PLHoby2MO,0rsN9DKQhTCvkgbByOOBIm,0.445,0.433,7,-7.698,1,0.0324,0.714,0.0,0.234,0.853,139.297
2156,I Need to Be,Mase,Soft 90s,hardcore,312653,0,True,0ArN13DTF6NicD4yjAsTiQ,1wiBLzTI7z9RUwEpNPdFT6,0.835,0.456,7,-9.309,1,0.114,0.0459,7.06e-06,0.0942,0.604,132.052
2157,Don't Leave Me,BTS,FACE YOURSELF,k-pop,227413,66,False,3zIG0WuI5RoJsFYnErkFDU,3Nrfpe0tUJi4K4DXYWgMUX,0.62,0.778,8,-4.622,0,0.0724,0.116,0.0,0.312,0.386,147.012
2158,A Question of the Heart,Big Jay Oakerson,An American Storyteller,comedy,159106,33,True,6PA7xvPHTcbappxRhHC6E8,6WykS91bn7CcqhsnUsoWuX,0.553,0.849,1,-8.618,1,0.916,0.821,0.0,0.729,0.407,94.64
2159,Thermal Scope,Shady Moon,Thermal Scope,chill,124842,54,True,2S42RxZN8EyGwgxKY1K4xU,2urobxol2zYHXOUJXDh8n4,0.876,0.511,8,-5.96,1,0.214,0.144,1.58e-05,0.426,0.413,120.009
2160,Breakthrough,The Funkees,Can't You Hear Me?,afrobeat,203986,31,False,7vx87LB2W1D7QlwjF96kh1,6dqBherxR2n5xMfqAI0L2J,0.562,0.675,10,-12.12,0,0.242,0.537,0.000787,0.0963,0.465,92.51
2161,4th Chamber,GZA,Liquid Swords,hardcore,276967,58,False,4qfUlchVD7WM4JhA5xio6m,6ns6XAOsw4B0nDUIovAOUO,0.708,0.447,1,-6.305,1,0.0952,0.0271,0.000728,0.102,0.0384,89.62
2162,Sana Mani Yar,Rashid Beibutov,Lab Larr,romance,239647,10,False,1q3ISxk58qc43VxRSVikeV,5jLW4Y4UnQSUr4NDxlNKwh,0.493,0.509,9,-8.698,0,0.0517,0.937,0.00438,0.461,0.6,135.422
2163,Minor Threat,Minor Threat,First Two Seven Inches,hardcore,91240,50,False,6yIaRcvzhIrukxS4VVhil0,07PiZYrhllpSXtELkUxlrf,0.276,0.91,2,-7.465,1,0.0491,0.00101,0.0014,0.276,0.935,166.469
2164,A Horse with No Name,America,America,country,252239,75,False,54eZmuggBFJbV7k248bTTt,35U9lQaRWSQISxQAB94Meo,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179
2165,American Girl Dolls,Louis C.K.,Live at Madison Square Garden,comedy,212656,31,True,5dRv8SBSFHHiNzgGQBReug,4fQii15cX3Q0ZkjCdsIxkZ,0.614,0.629,6,-12.784,1,0.954,0.854,0.0,0.659,0.137,92.135
2166,分開以後,FS (Fuying & Sam),溫度 LOVE TEMPERATURE,malay,242838,40,False,07wFjEiedqOPuc1gaYl50k,0vWI4yyM1HXGoK0tkHqbGi,0.358,0.391,10,-8.927,1,0.027,0.505,0.0,0.25,0.184,149.353
2167,Martha My Dear - Remastered 2009,The Beatles,The Beatles (Remastered),british,148573,53,False,1swmf4hFMJYRNA8Rq9PVaW,3WrFJ7ztbogyGnTHbHJFl2,0.472,0.292,10,-11.591,1,0.0321,0.872,0.0007,0.128,0.824,177.624
2168,Ain't No Reason,Brett Dennen,So Much More (Special Edition),acoustic,220306,53,False,2gJ3ZOaiWr3jGHwevufOxr,0FC1LIeQXKib0jOwZqeIwT,0.615,0.358,5,-9.694,1,0.0552,0.705,0.0,0.113,0.432,146.06
2169,"Playboy, Footlocker, And Peanut Butter",Dov Davidoff,The Point Is,comedy,328613,27,True,7EzIskapQ6kx8GGSQ6QLed,2BlecWN5bo5QWdgZJTAfnq,0.621,0.72,2,-6.095,1,0.896,0.725,0.0,0.937,0.562,131.496
2170,Start It Up,Lloyd Banks,H.F.M. 2 (Hunger For More 2),hardcore,289520,52,True,37qcaCXw7TlBsDD5BgDoCf,3vDUJHQtqT3jFRZ2ECXDTi,0.446,0.87,1,-4.683,1,0.318,0.0935,0.0,0.437,0.438,161.79
2171,The World Lofi (Death Note),Kato,Sleep Anime Lofi Beats,anime,94662,57,False,0PaZ8LbJ42A2SoUUUlIlQC,3yTNaLgtCufxUYDsWa5MpA,0.376,0.0555,7,-28.725,1,0.0365,0.764,0.824,0.38,0.106,141.204
2172,Let's Be Better,Andrew Santino,Homefield Advantage,comedy,59204,30,True,5T0x0Xm96zldvPeyfloXmz,7DcIffPhehwXCOHZyE5GZy,0.687,0.775,10,-8.225,1,0.888,0.481,0.0,0.716,0.566,124.591
2173,Rollin' Stone,Kyle Lux,No Roof Access,chill,194863,53,False,3wXw9CsZsxca37dbzHUx4g,63g7H7tihdsX4LtRQioKrR,0.665,0.57,9,-6.896,0,0.0341,0.066,2.98e-06,0.0822,0.396,95.983
2174,Boy,ODESZA,A Moment Apart,chill,183680,51,False,63yesoRJgXT5QALryYFV0X,21mKp7DqtSNHhCAU2ugvUw,0.515,0.686,0,-6.258,1,0.0929,0.00324,0.505,0.0647,0.148,140.013
2175,Like A Star,Corinne Bailey Rae,Corinne Bailey Rae,british,243213,61,False,5Anh8jULgeUgciLHCR25Mk,29WzbAQtDnBJF09es0uddn,0.606,0.226,2,-10.617,0,0.0347,0.715,0.0001,0.35,0.142,122.711
2176,Bali,Isato Nakagawa,Tree Circle,guitar,348760,36,False,0gIQviarG5RlZbvCxfpHKL,7H7kbnGiqnG8GYDtDALthl,0.563,0.18,6,-18.791,1,0.0383,0.956,0.907,0.107,0.362,115.292
2177,Ride Wit Me,Nelly,Country Grammar,dance,291781,75,True,3Gf5nttwcX9aaSQXRWidEZ,2gBjLmx6zQnFGQJCAQpRgw,0.85,0.7,7,-6.49,1,0.0478,0.0616,1.8e-06,0.244,0.722,101.875
2178,"God, Your Mama, And Me",Florida Georgia Line,Dig Your Roots,country,183413,62,False,4VFE6ZNqa8jHAmbYICoAFg,3b8QkneNDz4JHKKKlLgYZg,0.443,0.817,7,-3.729,1,0.0511,0.318,0.0,0.374,0.652,168.1
2179,I Shall Not Want,Audrey Assad,O Happy Fault,world-music,222508,48,False,3jlAkZoMZovVV5gUA62ulF,1GKYNY4rIPnOuTfC0J1IWw,0.257,0.168,4,-12.243,1,0.0429,0.954,0.000102,0.0877,0.151,58.988
2180,Love Will Keep Us Together,Captain & Tennille,Love Will Keep Us Together,disco,205493,65,False,4pCNJwixy2ImFncaPY2yE2,7BEfMxbaqx6dOpbtlEqScm,0.621,0.788,4,-4.326,1,0.0314,0.354,0.0,0.305,0.926,129.62
2181,Andria,La Dispute,Somewhere at the Bottom of the River Between Vega and Altair (10th Anniversary),hardcore,260959,48,False,42QlbO4IkGD6OSp6OXjFwN,7lQKE6HaKQcCsgLRMhsh5W,0.407,0.858,9,-3.973,0,0.11,0.0476,0.0,0.206,0.293,141.882
2182,Lullabies,Yuna,Yuna,malay,245600,43,False,65NgzrJQYejo06ddrg8tbp,3kHVioJpVxlazAAKQ64pC1,0.712,0.338,5,-9.01,1,0.0388,0.472,0.0259,0.0885,0.324,85.012
2183,Cucurucu,Nick Mulvey,First Mind,british,267573,58,False,3G3PP7pAkAaZ6QzM0duBry,3x8FbPjh2Qz55XMdE2Yalj,0.559,0.611,6,-7.932,0,0.0538,0.173,4.38e-05,0.0839,0.481,97.006
2184,Tool,Maretu,SIU,anime,50250,44,False,6LtZ2QbtwCTDek3CGPgy83,7p1fL0cAuCPDMG6oBswFhM,0.522,0.969,0,-2.521,1,0.0724,0.135,0.0,0.153,0.699,171.948
2185,Knocking at Your Door,O.A.R.,The Mighty,acoustic,216200,45,False,78v5ljpPryjGY4r1wndiqa,1Cq0LAHFfvUTBEtMPXUidI,0.704,0.749,6,-5.671,0,0.045,0.0588,0.0,0.0527,0.836,89.973
2186,Don't Cha,The Pussycat Dolls,PCD,dance,272080,68,False,1gZ7i4qxXkHZb1r6eioaAP,6wPhSqRtPu1UhRCDX5yaDJ,0.877,0.637,1,-3.493,0,0.101,0.00516,2.5e-06,0.0959,0.569,119.988
2187,Goodbye Road,Johnnyswim,Goodbye Road,acoustic,259013,42,False,7ogwOAY22C47dR8Wq019az,4igDSX1kgfWbVTDCywcBGm,0.461,0.32,7,-10.095,1,0.028,0.533,0.0,0.125,0.198,131.919
2188,"Sinners, Saints and Fools",Brandi Carlile,In These Silent Days,acoustic,272448,43,False,18gBpydG8qsUkssX2CqmPI,2sG4zTOLvjKG1PSoOyf5Ej,0.391,0.602,10,-5.547,1,0.0368,0.0225,1.45e-05,0.0794,0.397,144.232
2189,I'm Fine,BTS,Love Yourself 結 'Answer',k-pop,240339,69,False,7HYJqAMbKDJYRyEfUGOCBB,3Nrfpe0tUJi4K4DXYWgMUX,0.511,0.84,11,-2.781,0,0.103,0.00852,0.0,0.346,0.303,87.605
2190,BOOM,Tiësto,Pregame Hits,dance,179512,1,True,5JoE0u8icMlcQ2bSG3zQoc,2o5jDhtHVPhrJdv3cEQ99Z,0.886,0.84,2,-3.386,1,0.0502,0.0164,0.00639,0.329,0.203,123.035
2191,FAKE LOVE - Rocking Vibe Mix,BTS,Love Yourself 結 'Answer',k-pop,238494,59,False,1WjGvMbHE23jEipydV80Mu,3Nrfpe0tUJi4K4DXYWgMUX,0.466,0.804,2,-4.009,0,0.0392,0.0573,0.0,0.432,0.352,154.901
2192,NUNU NANA,Jessi,NUNA,k-pop,195836,69,False,2cUzIBGMvx2BZ2Q1fzjdl1,64k5e9kV9MdukXjFrR5R37,0.743,0.689,7,-2.846,1,0.0289,0.0198,0.0,0.708,0.504,104.936
2193,Что ты жадно глядишь на дорогу,Надежда Обухова,Великие исполнители россии: надежда обухова,romance,202773,0,False,71ygYtGGYNmkYd6yXsix98,4ihKD8QMwvNKdnq3Efr31h,0.495,0.0833,4,-16.791,0,0.0821,0.981,0.0,0.095,0.3,94.839
2194,I'm No Angel,The Gregg Allman Band,I'm No Angel,blues,222893,51,False,2Yt2u7vNSCkPUy1awRFSPV,5jTAPkN0XtPH0cinWMRyzw,0.621,0.773,4,-12.157,1,0.0475,0.144,0.0,0.161,0.856,140.748
2195,The Wolves,Ben Howard,Every Kingdom,british,309346,55,False,2zKoA5gp5Xaw3mrp45XIrR,5schNIzWdI9gJ1QRK8SBnc,0.483,0.543,0,-9.903,0,0.0325,0.272,0.00708,0.127,0.489,119.235
2196,L O V E L O V E,Jeremy Lister,Sign Language,acoustic,231891,41,False,4fM6zGB3hwSYq3Kb3d1FRW,5ChUwGNEwjVk3L7Wa7nmvJ,0.526,0.57,0,-9.187,1,0.0499,0.363,0.0,0.0735,0.35,138.961
2197,Again (Fullmetal Alchemist Brotherhood) - Part 4,Kato,Anime & Chill (Piano Version),anime,49110,44,False,6VO9zBEBGnurbeEmpZe3Q5,3yTNaLgtCufxUYDsWa5MpA,0.588,0.0451,4,-23.641,0,0.0576,0.99,0.933,0.115,0.152,78.253
2198,Sample in a Jar,Phish,Hoist,blues,281000,48,False,6MCUdqOifrEomDtrgZlJ8O,5wbIWUzTPuTxTyG6ouQKqz,0.419,0.748,9,-8.142,1,0.0521,0.0946,0.000174,0.0916,0.417,85.02
2199,Foxey Lady,Jimi Hendrix,Are You Experienced,blues,198773,60,False,23MrkN7g6Q5U7GLIxNHN1B,776Uo845nYHJpNaStv1Ds4,0.507,0.847,1,-5.987,0,0.0411,0.0751,0.237,0.372,0.566,98.096
2200,辛德瑞拉,Penny Tai,好佩妮,malay,250293,25,False,1wuga59h3oAAvCHQxJXiik,0qmPs7q4bykvrS8NMZk7ud,0.705,0.761,7,-4.353,1,0.0317,0.37,1.04e-06,0.234,0.701,122.011
2201,Skulls,Misfits,Collection,hardcore,118960,51,False,3n75gL3WU5tAwwAgssRI9j,1cXi8ALPQCBHZbf0EgP4Ey,0.469,0.852,2,-10.821,1,0.0446,0.422,2.68e-06,0.474,0.344,113.616
2202,Guitarra y vos,Jorge Drexler,Eco,afrobeat,235066,51,False,0bsYD4JWWrUqXXUXDi8SYK,4ssUf5gLb1GBLxi1BhPrVt,0.728,0.546,2,-7.405,1,0.189,0.488,0.000395,0.0982,0.64,70.995
2203,Road Funk,Euforquestra,Fire,afrobeat,260346,38,False,69pVpDNsh0KKqkOx9PRDGP,6I1e3IQkbI45U7kX9ucCfJ,0.748,0.827,7,-3.957,1,0.0337,0.218,0.00367,0.0546,0.905,112.031
2204,Lola,Esteban Delano,Lola,guitar,147947,46,False,1Oa5PbACgAPg0pS0l0SGTq,1L2SxyOV2Cl8bHGXKDZOrN,0.479,0.0572,4,-19.814,0,0.0687,0.956,0.928,0.0986,0.21,105.864
2205,That Ain't My Truck,Rhett Akins,A Thousand Memories,country,243106,61,False,7riuy1t0Kt3SRgMtFxX0FR,4qivGtDBIkQFLCeduRpi24,0.64,0.788,7,-9.012,1,0.035,0.232,0.0,0.144,0.774,128.961
2206,Thanks for Risking Your Life,Lewis Black,Thanks for Risking Your Life,comedy,120987,35,True,1SaGMvUUAiJuKsQFVM99YO,6XloIaGQ9H1Nn37puBzQqm,0.708,0.358,11,-22.808,0,0.922,0.729,0.0,0.854,0.095,49.839
2207,Fukashigi No Carte,MyReminiscence,"Aoryn Cover Collection, Vol. 3",anime,237574,47,False,5dshBYKxOKzrbyr1tpT2Gl,7aebkMcm9N9Vg8VSXsIvsQ,0.643,0.226,2,-18.32,0,0.0373,0.938,0.901,0.16,0.327,96.045
2208,PARADISE TO ME,Niko Moon,GOOD TIME,country,216226,63,False,2oMfpjxWmnLYcgbqkeAjfp,6Rw7DRa1dzChBvxGPCpOxU,0.755,0.619,11,-6.829,0,0.0362,0.0246,0.0,0.0739,0.398,155.046
2209,in your arms,Saib,in your arms,chill,277839,54,False,4fgIoBKHzO7YO5eATyYbMl,6N4HlHINMvoTyAL0yhBUCk,0.739,0.28,0,-17.212,1,0.0929,0.697,0.0133,0.362,0.755,142.912
2210,Yeezus Is the Only True God,Hannibal Buress,Live from Chicago,comedy,164741,29,True,2xdYZBmO2LMZrvfYUI94B2,4GIqbOr0FgE9qmJ31kVYdD,0.708,0.783,11,-5.611,1,0.935,0.856,0.0,0.646,0.256,128.734
2211,Saturday Nights,Weston Estate,Saturday Nights,chill,150805,50,False,7HoWiIdwg7A2vomrmGmW6N,18CPEToK1OfjJ5B5vDBDKa,0.573,0.747,0,-7.095,0,0.0761,0.695,1.05e-05,0.103,0.632,172.159
2212,Better,Makari,Hyperreal,hardcore,218909,47,False,5n3VJjpMizMub8keWWk03l,4YW1GDcW9hobRPMDi8v6XH,0.384,0.966,4,-1.344,1,0.0683,0.000425,0.0,0.176,0.78,165.006
2213,Lemon,Kenshi Yonezu,STRAY SHEEP,anime,255826,68,False,04TshWXkhV1qkqHzf31Hn6,1snhtMLeb2DYoMOcVbb8iB,0.525,0.646,11,-4.963,1,0.0268,0.304,0.0,0.297,0.373,86.957
2214,A Road to Somewhere,Joe Hisaishi,Spirited Away Soundtrack,anime,127533,49,False,12CWJ1dvXyGikpqh02gQx7,7nzSoJISlVJsn7O0yTeMOB,0.195,0.0605,5,-28.516,0,0.0394,0.93,0.674,0.376,0.119,84.528
2215,The Vice Yard,Orgone,Connection,afrobeat,251533,44,False,3H47SylMu2eMbc5WLZThPm,4WmMnGO1nLIsE85XwcBAZE,0.673,0.915,9,-7.887,0,0.04,0.0788,0.894,0.248,0.89,91.776
2216,Days I Will Remember,Tyrone Wells,Days I Will Remember,acoustic,214240,54,False,01MVOl9KtVTNfFiBU9I7dc,5zeCSgiRyezbfLiGOpKAsR,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017
2217,"I'm a Bear, Etc.",Mike Birbiglia,Sleepwalk with Me - Live,comedy,379853,37,False,42LLLWDAbsGvWCJmIiSNTV,7LA4bHpsuQA1bNuxHpqeIT,0.514,0.784,11,-7.352,1,0.92,0.931,0.0,0.699,0.459,116.07
2218,MOMMAE,Jay Park,Worldwide,k-pop,204991,68,False,1LNlfvPQmB0cqYJQQskZ8x,4XDi67ZENZcbfKnvMnTYsI,0.694,0.691,0,-4.791,1,0.287,0.226,0.0,0.104,0.678,93.91
2219,Not For a Moment (After All),Meredith Andrews,Worth It All,world-music,240165,43,False,0DLm6rzoQFEdOHL0EqVv3t,6qk2W9h3eE5UtPJlIatzsY,0.413,0.682,3,-6.846,1,0.0325,0.569,0.0,0.15,0.246,142.132
2220,Church (feat. EARTHGANG),Samm Henshaw,Church (feat. EARTHGANG),british,228117,55,False,6SzbbQUOx85hxpqsesoMfx,1Q2mS59tFYLm2KGFoCgWN4,0.652,0.746,8,-4.62,1,0.107,0.0177,0.00044,0.0734,0.894,165.861
2221,Сон,Сергей Захаров,Женщина моя,romance,280790,0,False,3Cr2HZaTJc57JZlFnKir7G,5vR5MQkT0WArW8eYnqMg3Z,0.45,0.826,10,-4.315,1,0.103,0.364,5.97e-06,0.325,0.719,103.141
2222,Beggin',Monophonics,Mirrors,afrobeat,191538,31,False,6lEU3rh2uPMWlUippqXrHI,6LXZac7iBIZgnNrywTkQRw,0.443,0.815,2,-6.847,1,0.0491,0.00101,0.00195,0.21,0.354,127.948
2223,Hey Ma,Cam’ron,Come Home With Me,hardcore,230080,59,True,6a8lMvYwJBwV4OtmdI1aDb,7iMvwE8qANp3aIfAGKEAwS,0.764,0.669,8,-5.57,1,0.363,0.0285,5.09e-06,0.337,0.934,89.832
2224,Save Your Tears,Boyce Avenue,Save Your Tears,acoustic,216800,58,False,45SbQo5bq8f0hNdB70IyFC,7CQwac16i1W5ej8YpuL3dv,0.735,0.275,8,-8.994,0,0.0304,0.746,0.0,0.131,0.294,116.004
2225,Cheat Death,Bent Life,Never Asked For Heaven,hardcore,246250,42,False,6MqePGfWMLprgQMnC1oQb4,1Je5yTaCj3lKVnYUZx7OgD,0.377,0.854,9,-5.049,1,0.0457,0.000383,0.000339,0.098,0.592,135.032
2226,Love You Like That,Canaan Smith,Bronco,country,203053,63,False,2QVzUws1l5mzZ4v46tGHrC,0q2lY1ZzFckzciuoMtUvck,0.559,0.766,11,-5.056,1,0.0295,0.0107,6.98e-05,0.194,0.723,145.26
2227,Under The Knife,Rise Against,The Sufferer & The Witness,hardcore,165173,51,False,7lg0XrvUawyMBRv13zwALu,6Wr3hh341P84m3EI8qdn9O,0.573,0.984,10,-3.846,0,0.0653,0.000608,2.57e-06,0.0356,0.502,104.334
2228,Milestone Moon,Zee Avi,Ghostbird,malay,220106,19,False,6ub1H9M22l2xcJ6lzq0P3X,6zGcYBjlNOMSVVrl7ZoGsH,0.577,0.231,7,-12.524,1,0.0329,0.83,0.0107,0.0595,0.602,167.457
2229,Me and Bobby McGee,Janis Joplin,Pearl (Legacy Edition),blues,271333,69,False,1IqFh00G2kvvMm8pRMpehA,4NgfOZCL9Ml67xzM0xzIvC,0.43,0.463,2,-10.96,1,0.0442,0.303,5.84e-05,0.152,0.66,93.405
2230,Одинокая волчица,Александр Добронравов,Волчица,romance,259074,24,False,0rmpRd4Rjkd8aW1msaWbvJ,4kmSUlKf9cg16DexnA97XB,0.652,0.742,9,-5.224,0,0.0319,0.116,0.0,0.0758,0.487,118.536
2231,Intan Payung (feat. Noraniza Idris),Bunga,Intan Payung (feat. Noraniza Idris),malay,186560,44,False,2Hig1jN5cuRowJtNHEULPZ,1lHG5Nh4kVcBViogIek98t,0.834,0.815,1,-4.058,0,0.0519,0.318,0.0,0.164,0.701,110.057
2232,Mulla (From Hope Project),Job Kurian,Mulla (From Hope Project),malay,281826,35,False,4ITlckASNAmB8JE0u7Fm3T,4rJY6amSC7TWtV9oifBnrS,0.325,0.288,11,-11.725,1,0.0364,0.537,1.79e-05,0.313,0.17,175.469
2233,ninelie,Aimer,daydream,anime,261773,53,False,164YLgHJYhqOEYUcAc93Xz,0bAsR2unSRpn6BQPEnNlZm,0.462,0.85,6,-5.558,0,0.0453,0.0256,1.94e-05,0.0756,0.206,172.063
2234,Secret Secret,Stray Kids,NOEASY,k-pop,209986,61,False,1pLJ9T4v4p68otzCDonbc6,2dIgFjalVxs4ThymZ67YCE,0.642,0.743,0,-4.649,1,0.0643,0.222,0.0,0.286,0.37,73.969
2235,Mary Jane,Scarface,Greatest Hits,hardcore,189666,49,True,52VpJGxfpghObsAtML7kaN,19KwjzvIL92r29IINtlPNP,0.609,0.603,2,-6.747,1,0.183,0.0184,0.0,0.0698,0.359,79.058
2236,Bang Bang,Jessie J,Sweet Talker (Deluxe Version),dance,199386,78,False,0puf9yIluy9W0vpMEUoAnN,2gsggkzM5R49q6jpPvazou,0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028
2237,Inferno,Hiroyuki Sawano,「プロメア」オリジナルサウンドトラック,anime,234053,42,False,6ZXVnfb7cIIDxg1DfLCP1M,0Riv2KnFcLZA3JSVryRg4y,0.603,0.946,9,-3.82,1,0.0334,0.0042,0.0,0.36,0.793,125.038
2238,Shelter Me,Tab Benoit,Power Of The Pontchartrain,acoustic,304933,44,False,0Wv8SrR4kycxh3GIpl2adV,3ODYbknLzVe3cWQzVfbzGB,0.717,0.476,2,-11.068,1,0.0336,0.214,1.11e-05,0.176,0.682,93.216
2239,Scumbag Blues,Them Crooked Vultures,Them Crooked Vultures,blues,265823,52,False,557jg1bhE6fYKPtfEGZXGG,4zYQWYmtimAEmI6WWEzGfO,0.54,0.823,7,-5.122,1,0.0385,2.44e-05,0.00948,0.0911,0.475,112.282
2240,Bad Bad Things,AJJ,People Who Can Eat People are the Luckiest People in the World,acoustic,119880,54,False,4s5DywrMqIlGxvKi4WrHwH,4IDpDJIDfK96HMLD4Tphyl,0.532,0.652,9,-6.112,0,0.119,0.262,0.0,0.461,0.797,80.803
2241,Live High,Jason Mraz,Morning Walk Ballads,acoustic,254533,0,False,3vC7xzk7K4gRspoqw9LHnZ,4phGZZrJZRo4ElhRtViYdl,0.612,0.52,2,-9.665,1,0.0473,0.148,0.0,0.695,0.636,86.031
2242,Kolodniki,Nikolay Erdenko,Velikie ispolniteli Rossii XX veka: Luchshie narodnye pesni,romance,451187,0,False,68PILSibYx90wy3AVyvEs9,13A5r5f5lWbiFwQK2DiYPh,0.586,0.342,0,-17.463,1,0.0333,0.192,0.0,0.159,0.257,117.971
2243,St. James Infirmary,The Bridge City Sinners,Bridge City Sinners,acoustic,256301,42,True,7jHu1ufEWMeP8RbNMxFpGK,67koLjNJIwd3at8sM8EAkt,0.523,0.796,9,-3.354,1,0.115,0.673,0.0,0.364,0.533,124.443
2244,BIRTHDAY,JEON SOMI,BIRTHDAY,k-pop,185796,60,False,5XcM0eD1lsWZibqJ9AUTFq,7zYj9S9SdIunYCfSm7vzAR,0.687,0.844,7,-4.242,1,0.109,0.0163,9.92e-06,0.0372,0.596,180.055
2245,Only There,Shane & Shane,"Psalms, Hymns, and Spiritual Songs, Vol. 1",world-music,323858,41,False,4TzZv2Va1nFeDzQqtvPtfp,2LFbgsbEhfilNpQYW7mied,0.406,0.396,3,-9.284,1,0.0279,0.691,0.000128,0.11,0.245,143.744
2246,DUN DUN,EVERGLOW,reminiscence,k-pop,192280,68,False,3ejAkJLWQSEJDqDXxK3efB,3ZZzT0naD25RhY2uZvIKkJ,0.692,0.881,11,-2.563,0,0.0461,0.0457,4.45e-06,0.146,0.432,103.053
